,created_time,status_type,type,video_length,message,link,permalink_url,comments_count,shares_count,reactions_count,like_count,love_count,wow_count,haha_count,sad_count,angry_count
337,2019-07-23 11:27:18,added_photos,photo,,"- Estou de partida para Vitória da Conquista para inauguração de aeroporto.  - Lamentável a decisão do governador da Bahia que não autorizou a presença da Polícia Militar para a nossa segurança.  - Pior ainda, passou a responsabilidade de tal negativa ao seu Comandante Geral.",https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1528915673924080/?type=3,https://www.facebook.com/211857482296579/posts/1528915783924069/,19986.0,14678.0,111622.0,90173.0,1357.0,5107.0,679.0,2514.0,11792.0
338,2019-07-23 05:28:45,added_photos,photo,,"- O Credit Default Swap (CDS), índice que mede o risco país, chegou ao seu menor patamar em 5 anos, indicando a recuperação da confiança dos investidores internacionais no Brasil.  - Com avanços na OCDE e o acordo Mercosul-UE, a certeza de que estamos colocando o Brasil no lugar destaque que merece. 🇧🇷",https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1528660727282908/?type=3,https://www.facebook.com/211857482296579/posts/1528660757282905/,2340.0,6383.0,43845.0,40058.0,3359.0,253.0,144.0,5.0,26.0
339,2019-07-23 00:50:59,added_video,video,01:03,"- Amanhã estarei em Vitória da Conquista, Bahia.  - Encontrei-me com alguns nordestinos em Brasília. Um alegria só.   - Não censurei o filme da Bruna Surfistinha, apenas NÃO posso admitir dinheiro público para fazer filme PORNÔ. Assista:",https://www.facebook.com/jairmessias.bolsonaro/videos/342917783316766/,https://www.facebook.com/211857482296579/posts/1528468853968762/,5260.0,14961.0,62328.0,55098.0,5878.0,127.0,1146.0,7.0,72.0
340,2019-07-22 21:41:32,mobile_status_update,status,,#NOME?,,https://www.facebook.com/211857482296579/posts/1528298567319124/,3959.0,5548.0,49617.0,43730.0,5159.0,146.0,436.0,41.0,105.0
341,2019-07-20 21:34:18,added_video,video,03:04,#NOME?,https://www.facebook.com/jairmessias.bolsonaro/videos/698451633941851/,https://www.facebook.com/211857482296579/posts/1526324727516508/,3287.0,10400.0,58749.0,53887.0,3848.0,746.0,202.0,12.0,54.0
342,2019-07-20 16:55:21,mobile_status_update,status,,"- Não adianta a imprensa me pintar como seu inimigo. Nenhum presidente recebeu tanto jornalista no Planalto quanto eu, mesmo que só tenham usado dessa boa vontade para distorcer minhas palavras e agir de má fé ao invés de reproduzir a realidade dos fatos.  - Sempre defendi liberdade de imprensa, mesmo consciente do papel político-ideológico atual de sua maior parte, contrário aos interesses dos brasileiros, que contamina a informação e gera desinformação. No fundo, morrem de saudades do PT.",,https://www.facebook.com/211857482296579/posts/1526042540878060/,13878.0,17440.0,166807.0,147451.0,12845.0,387.0,5841.0,92.0,191.0
343,2019-07-19 21:41:43,added_video,video,03:14,#NOME?,https://www.facebook.com/jairmessias.bolsonaro/videos/2375548599369320/,https://www.facebook.com/211857482296579/posts/1525110470971267/,14114.0,53434.0,89911.0,72831.0,10534.0,888.0,5450.0,47.0,161.0
344,2019-07-19 12:21:24,added_video,video,44:27:00,,https://www.facebook.com/jairmessias.bolsonaro/videos/2355415791398367/,https://www.facebook.com/jairmessias.bolsonaro/videos/2355415791398367/,15876.0,6184.0,41548.0,32836.0,8023.0,200.0,155.0,41.0,293.0
345,2019-07-19 00:54:42,added_video,video,01:30,"- 200 dias de governo. Muito fizemos, mas ainda há muito a fazer. Juntos, estamos mudando o destino do nosso Brasil. 🇧🇷 via - Planalto",https://www.facebook.com/jairmessias.bolsonaro/videos/443874582872914/,https://www.facebook.com/211857482296579/posts/1523677491114565/,3504.0,22325.0,59105.0,51439.0,6761.0,474.0,366.0,11.0,54.0
346,2019-07-19 00:53:46,added_video,video,00:51,- Para descontrair. Proibido queimar ovo. Kkkkkkk  - Boa noite a todos!,https://www.facebook.com/jairmessias.bolsonaro/videos/416897232504702/,https://www.facebook.com/211857482296579/posts/1523676564447991/,10782.0,19037.0,90704.0,52846.0,4621.0,127.0,32818.0,68.0,224.0
347,2019-07-18 23:32:35,added_video,video,00:15,"- A UNE tem razão? - Qual o futuro desses ""alunos?"" - Tudo acabou com ""L. Livre.""",https://www.facebook.com/jairmessias.bolsonaro/videos/1523576237791357/,https://www.facebook.com/211857482296579/posts/1523576341124680/,8743.0,2992.0,31373.0,18496.0,162.0,175.0,8082.0,644.0,3814.0
348,2019-07-18 22:00:17,added_video,video,35:21:00,- LIVE SEMANAL 18 DE JULHO DE 2019:,https://www.facebook.com/jairmessias.bolsonaro/videos/716948275436963/,https://www.facebook.com/jairmessias.bolsonaro/videos/716948275436963/,44367.0,21036.0,101187.0,81777.0,16853.0,318.0,1730.0,77.0,432.0
349,2019-07-17 21:33:59,added_photos,photo,,- Voltando para o Brasil após compromissos do Mercosul na Argentina. 🇧🇷,https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1522338464581801/?type=3,https://www.facebook.com/211857482296579/posts/1522338491248465/,5918.0,6008.0,135317.0,123120.0,11246.0,587.0,253.0,17.0,94.0
350,2019-07-17 00:51:24,mobile_status_update,status,,- Dados oficiais (Sinesp) apontam uma queda de quase 38% dos roubos de carga e 41% dos roubos a instituições financeiras no primeiro trimestre deste ano em relação ao mesmo período do ano passado. 🇧🇷👍,,https://www.facebook.com/211857482296579/posts/1521501171332197/,2614.0,5187.0,63691.0,58514.0,4461.0,569.0,116.0,11.0,20.0
351,2019-07-16 05:46:13,added_video,video,02:42,- Caixa Econômica convoca 2 mil concursados com deficiência para assumir. - Primeira dama e Presidente da CEF estiveram presentes na cerimônia dos NOVOS CRACHÁS.,https://www.facebook.com/jairmessias.bolsonaro/videos/2347085825562235/,https://www.facebook.com/211857482296579/posts/1520752044740443/,3263.0,18461.0,59540.0,52943.0,5947.0,547.0,63.0,12.0,28.0
352,2019-07-15 12:36:31,mobile_status_update,status,,"- Fechamos o maior acordo comercial de nossa história, demos grande passo para ingresso na OCDE, retomamos obras iniciadas há décadas, realizamos várias concessões com retorno acima do esperado, otimizamos o combate às fraudes no INSS e seguro-defeso, reduzimos o custo da CNH.  - Quebramos monopólios, diminuímos burocracias. O Brasil bateu recordes em apreensão de drogas e reduziu consideravelmente os homicídios. Isso em apenas 7 meses. Quem espalha que vamos de mal a pior, manifesta um desejo, não a realidade. Estamos mudando o Brasil para melhor! 🇧🇷",,https://www.facebook.com/211857482296579/posts/1519881894827458/,11797.0,32874.0,176804.0,156872.0,18354.0,1150.0,365.0,16.0,47.0
353,2019-07-14 15:20:34,added_photos,photo,,"- RADIOAMADORES - - Nossos cumprimentos ao MCTIC e ANATEL pelo anúncio do fim da Taxa Administrativa de R$ 200,00 para os radioamadores, a partir de outubro.  - A ANATEL já revogou 173 resoluções desde janeiro, na mesma linha do Ministério da Economia, visando a desburocratização.",https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1518832274932420/?type=3,https://www.facebook.com/211857482296579/posts/1518832301599084/,2714.0,5172.0,49452.0,45935.0,3027.0,413.0,61.0,5.0,11.0
354,2019-07-14 01:14:51,added_video,video,00:33,"- A UNE em Brasília: ""Bolsonaro, vai se ferrar""... - Uma boa notícia vindo de quem não gosta de estudar...",https://www.facebook.com/jairmessias.bolsonaro/videos/463447060898391/,https://www.facebook.com/211857482296579/posts/1518248454990802/,8856.0,3455.0,46047.0,29685.0,487.0,309.0,11036.0,557.0,3973.0
